iter	Passed	Remaining
0	0	71
1	1	69
2	2	66
3	2	62
4	3	62
5	3	62
6	4	65
7	5	65
8	6	64
9	7	64
10	7	63
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	11	58
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	22	42
35	23	41
36	23	40
37	24	39
38	24	39
39	25	38
40	25	37
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	29
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	49	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
